PDIV_ID,year,cropwaterDemand_inch,cropwaterDem
10051,2008,12.5,317.5
10647,2008,12.5,317.5
10893,2008,12.5,317.5
11016,2008,12.5,317.5
11169,2008,12.5,317.5
11474,2008,12.5,317.5
11964,2008,12.5,317.5
12012,2008,12.5,317.5
12150,2008,12.5,317.5
12183,2008,12.5,317.5
12472,2008,12.5,317.5
12629,2008,12.5,317.5
13457,2008,12.5,317.5
13633,2008,12.5,317.5
13783,2008,12.5,317.5
14095,2008,12.5,317.5
14152,2008,12.5,317.5
14570,2008,12.5,317.5
14852,2008,12.5,317.5
15131,2008,12.5,317.5
15559,2008,12.5,317.5
16434,2008,12.5,317.5
16479,2008,12.5,317.5
16569,2008,12.5,317.5
16914,2008,12.5,317.5
17301,2008,12.5,317.5
17353,2008,12.5,317.5
17490,2008,12.5,317.5
17890,2008,12.5,317.5
18121,2008,12.5,317.5
18703,2008,12.5,317.5
18793,2008,12.5,317.5
18828,2008,12.5,317.5
19014,2008,12.5,317.5
19095,2008,12.5,317.5
19096,2008,12.5,317.5
19601,2008,12.5,317.5
19612,2008,12.5,317.5
20664,2008,12.5,317.5
20840,2008,12.5,317.5
21632,2008,12.5,317.5
21648,2008,12.5,317.5
21754,2008,12.5,317.5
22236,2008,12.5,317.5
22426,2008,12.5,317.5
22526,2008,12.5,317.5
22595,2008,12.5,317.5
230,2008,12.5,317.5
2358,2008,12.5,317.5
23661,2008,12.5,317.5
24066,2008,12.5,317.5
241,2008,12.5,317.5
24291,2008,12.5,317.5
24573,2008,12.5,317.5
24852,2008,12.5,317.5
25757,2008,12.5,317.5
25936,2008,12.5,317.5
26388,2008,12.5,317.5
26458,2008,12.5,317.5
26627,2008,12.5,317.5
26658,2008,12.5,317.5
27009,2008,12.5,317.5
2754,2008,12.5,317.5
27608,2008,12.5,317.5
28080,2008,12.5,317.5
28661,2008,12.5,317.5
28843,2008,12.5,317.5
28950,2008,12.5,317.5
29223,2008,12.5,317.5
29554,2008,12.5,317.5
29572,2008,12.5,317.5
29768,2008,12.5,317.5
2996,2008,12.5,317.5
29975,2008,12.5,317.5
30390,2008,12.5,317.5
3073,2008,12.5,317.5
30914,2008,12.5,317.5
31099,2008,12.5,317.5
31355,2008,12.5,317.5
31455,2008,12.5,317.5
31565,2008,12.5,317.5
320,2008,12.5,317.5
32097,2008,12.5,317.5
32939,2008,12.5,317.5
33001,2008,12.5,317.5
33202,2008,12.5,317.5
33652,2008,12.5,317.5
33691,2008,12.5,317.5
33733,2008,12.5,317.5
33758,2008,12.5,317.5
34564,2008,12.5,317.5
3500,2008,12.5,317.5
35583,2008,12.5,317.5
35844,2008,12.5,317.5
